"","data_date","pred_loss_per_act_Lt","pred_loss_per_act_s","pred_loss_per_act_GAM","pred_loss_per_act_svm","pred_loss_per_act_dev","act_loss_per_act"
"1",2006-03-31,0.760708498227159,0.83370919634364,0.702814238316519,0.747459408374493,0.76070849822716,0.503976480131847
"2",2006-06-30,0.822345773099408,0.883208541659144,0.790259153224849,0.810624295622286,0.822345773099408,0.809895447660471
"3",2006-09-30,1.19360481033614,1.23646087505766,1.18566216175974,1.14684749526683,1.19360481033614,1.0494742746901
"4",2006-12-31,1.08316004761512,1.1089458059878,1.10037751475291,1.06419469656041,1.08316004761512,1.07959326492675
"5",2007-03-31,0.797290226277119,0.817790679338335,0.828630386945318,0.798143385009362,0.79729022627712,0.651967489107525
"6",2007-06-30,0.821985906547334,0.841206802901505,0.85365783059367,0.822109967151201,0.821985906547334,1.03165140930871
"7",2007-09-30,1.22141943236562,1.22004688178024,1.26773493156665,1.18572276259863,1.22141943236562,1.3109077113122
"8",2007-12-31,1.37869509609815,1.36920168451487,1.40463225453909,1.3580224165377,1.37869509609814,1.35551203175224
"9",2008-03-31,1.12718001685964,1.08928568787696,1.16035811558133,1.13184888050817,1.12718001685963,1.14724735291615
"10",2008-06-30,1.22195398233427,1.16775647344743,1.23830908996976,1.23071801295879,1.22195398233427,1.1528996378924
"11",2008-09-30,1.71271390118644,1.67388872395838,1.68968612647682,1.67940572364605,1.71271390118644,1.65786315012619
"12",2008-12-31,1.56572034427578,1.50225472649128,1.54891685147658,1.57938925471898,1.56572034427578,1.72292732415357
"13",2009-03-31,1.24845797426582,1.20496316199449,1.18413479399016,1.30170480209816,1.24845797426582,1.05216408063625
"14",2009-06-30,1.19168338837843,1.19199414788778,1.14474802505946,1.24892783573368,1.19168338837843,1.14339018150997
"15",2009-09-30,1.42254409759793,1.44707984736388,1.44300281005396,1.43735490003592,1.42254409759793,1.4528879609347
"16",2009-12-31,1.43051199754622,1.50495221077261,1.46818273431751,1.43706474620356,1.43051199754621,1.50002072604468
"17",2010-03-31,0.961123084801826,1.01437278042912,1.02708524037861,0.972607446044874,0.961123084801825,1.01471344547573
"18",2010-06-30,0.793555678143349,0.79810029634003,0.85138911746145,0.800442827196025,0.79355567814335,0.973007738312597
"19",2010-09-30,1.07910421988532,1.06197433338742,1.11949542138518,1.04579019915183,1.07910421988532,1.3506819172264
"20",2010-12-31,1.03186252981587,1.01026933743368,1.05985944395348,1.01685360195178,1.03186252981587,0.933464286507372
"21",2011-03-31,0.729465315290504,0.706307692825142,0.73981748320379,0.728926464909528,0.729465315290505,0.727337288309369
"22",2011-06-30,0.824159218998552,0.822700022855313,0.824102683790217,0.817978929137528,0.824159218998552,0.810306150021436
"23",2011-09-30,1.2217692693681,1.22872998109095,1.20976003849922,1.17317565861811,1.2217692693681,1.3716709619383
"24",2011-12-31,1.11807973806762,1.11074790064149,1.08127607214425,1.08813734218416,1.11807973806762,1.27836556347589
"25",2012-03-31,0.726793274183312,0.709105094906937,0.695795219991165,0.719405267221331,0.726793274183313,0.7554468236566
"26",2012-06-30,0.668554233142103,0.643389172590547,0.655737554969369,0.666699030834531,0.668554233142104,0.898305490300966
"27",2012-09-30,1.01285803179365,0.987400605607129,0.990281432003037,0.971229794727688,1.01285803179365,0.904815544455632
"28",2012-12-31,1.01668575301618,1.00430608533266,0.998155174117714,0.994166468792317,1.01668575301618,1.13880071187591
"29",2013-03-31,0.688749147644791,0.677728308326607,0.698460231403646,0.689784212502458,0.688749147644792,0.537658629713131
"30",2013-06-30,0.643698226792108,0.629167928932296,0.644512354490118,0.64516968908762,0.643698226792109,0.589726480934355
"31",2013-09-30,1.00460704554178,0.995626956462211,0.985788797396457,0.963954258043193,1.00460704554178,0.833125311169527
"32",2013-12-31,0.936364631467327,0.930141154353096,0.905822764711241,0.91543949662959,0.936364631467327,0.806490023939479
"33",2014-03-31,0.60513082011988,0.601616831761341,0.578940438201318,0.603925340349086,0.605130820119882,0.54042564562066
"34",2014-06-30,0.660923634261435,0.668455685299206,0.634993239085389,0.657276332645817,0.660923634261436,0.742386247948556
"35",2014-09-30,1.0217381523888,1.03174483248406,0.99874612311037,0.979649337136091,1.0217381523888,0.964278210579616
"36",2014-12-31,0.962585102596162,0.971900760371917,0.9509701015242,0.943567873630545,0.962585102596163,0.818746645900893
"37",2015-03-31,0.540823744988748,0.534536590265189,0.564813087382248,0.550604730771453,0.54082374498875,0.535141175250094
"38",2015-06-30,0.540323616438158,0.539510664812933,0.556347476713547,0.548824607253177,0.54032361643816,0.757258566087131
"39",2015-09-30,0.908588422119682,0.915994345391518,0.908789540325328,0.875275718399333,0.908588422119684,0.90324234015079
"40",2015-12-31,0.915108323995526,0.926053898594551,0.920580653002551,0.900976887541897,0.915108323995527,0.804852985917162
