"","data_date","error_Lt","error_s","error_GAM","error_svm","error_dev"
"1",2006-03-31,-0.256732018095312,-0.329732716211793,-0.198837758184672,-0.243482928242646,-0.256732018095313
"2",2006-06-30,-0.0124503254389374,-0.0733130939986733,0.0196362944356224,-0.000728847961815382,-0.0124503254389371
"3",2006-09-30,-0.14413053564604,-0.186986600367564,-0.136187887069638,-0.0973732205767315,-0.14413053564604
"4",2006-12-31,-0.0035667826883663,-0.0293525410610469,-0.0207842498261555,0.0153985683663425,-0.00356678268837007
"5",2007-03-31,-0.145322737169594,-0.16582319023081,-0.176662897837793,-0.146175895901837,-0.145322737169595
"6",2007-06-30,0.209665502761376,0.190444606407205,0.17799357871504,0.209541442157509,0.209665502761376
"7",2007-09-30,0.0894882789465794,0.09086082953196,0.043172779745549,0.125184948713573,0.0894882789465801
"8",2007-12-31,-0.0231830643459063,-0.013689652762628,-0.0491202227868526,-0.00251038478545773,-0.0231830643458999
"9",2008-03-31,0.0200673360565142,0.0579616650391863,-0.0131107626651765,0.0153984724079843,0.02006733605652
"10",2008-06-30,-0.0690543444418734,-0.0148568355550287,-0.0854094520773598,-0.0778183750663881,-0.0690543444418701
"11",2008-09-30,-0.0548507510602481,-0.0160255738321931,-0.0318229763506324,-0.0215425735198611,-0.0548507510602501
"12",2008-12-31,0.15720697987779,0.220672597662287,0.174010472676986,0.143538069434592,0.15720697987779
"13",2009-03-31,-0.196293893629567,-0.15279908135824,-0.131970713353907,-0.249540721461909,-0.19629389362957
"14",2009-06-30,-0.0482932068684623,-0.0486039663778064,-0.00135784354949142,-0.105537654223705,-0.0482932068684598
"15",2009-09-30,0.0303438633367668,0.00580811357082434,0.00988515088073538,0.0155330608987796,0.0303438633367701
"16",2009-12-31,0.0695087284984641,-0.00493148472792804,0.0318379917271685,0.0629559798411212,0.0695087284984701
"17",2010-03-31,0.0535903606739039,0.000340665046606237,-0.0123717949028805,0.0421059994308556,0.0535903606739051
"18",2010-06-30,0.179452060169248,0.174907441972567,0.121618620851147,0.172564911116572,0.179452060169247
"19",2010-09-30,0.271577697341083,0.288707583838975,0.231186495841218,0.304891718074569,0.27157769734108
"20",2010-12-31,-0.0983982433084932,-0.0768050509263046,-0.12639515744611,-0.0833893154444109,-0.0983982433084979
"21",2011-03-31,-0.00212802698113479,0.021029595484227,-0.0124801948944209,-0.00158917660015945,-0.00212802698113601
"22",2011-06-30,-0.0138530689771159,-0.0123938728338769,-0.0137965337687813,-0.0076727791160921,-0.013853068977116
"23",2011-09-30,0.149901692570203,0.142940980847347,0.161910923439082,0.198495303320186,0.1499016925702
"24",2011-12-31,0.160285825408268,0.167617662834404,0.197089491331644,0.19022822129173,0.16028582540827
"25",2012-03-31,0.0286535494732879,0.0463417287496631,0.0596516036654349,0.0360415564352694,0.028653549473287
"26",2012-06-30,0.229751257158863,0.254916317710419,0.242567935331597,0.231606459466435,0.229751257158862
"27",2012-09-30,-0.10804248733802,-0.082585061151497,-0.0854658875474047,-0.0664142502720558,-0.108042487338018
"28",2012-12-31,0.122114958859729,0.13449462654325,0.140645537758196,0.144634243083593,0.12211495885973
"29",2013-03-31,-0.15109051793166,-0.140069678613476,-0.160801601690515,-0.152125582789327,-0.151090517931661
"30",2013-06-30,-0.0539717458577529,-0.039441447997941,-0.0547858735557626,-0.0554432081532652,-0.053971745857754
"31",2013-09-30,-0.171481734372249,-0.162501645292684,-0.15266348622693,-0.130828946873666,-0.171481734372253
"32",2013-12-31,-0.129874607527848,-0.123651130413617,-0.0993327407717621,-0.108949472690111,-0.129874607527848
"33",2014-03-31,-0.0647051744992204,-0.0611911861406808,-0.0385147925806577,-0.0634996947284256,-0.064705174499222
"34",2014-06-30,0.0814626136871207,0.0739305626493504,0.107393008863167,0.0851099153027391,0.08146261368712
"35",2014-09-30,-0.0574599418091813,-0.0674666219044401,-0.0344679125307542,-0.015371126556475,-0.057459941809184
"36",2014-12-31,-0.143838456695269,-0.153154114471024,-0.132223455623308,-0.124821227729652,-0.14383845669527
"37",2015-03-31,-0.00568256973865422,0.000604584984905454,-0.0296719121321537,-0.0154635555213586,-0.005682569738656
"38",2015-06-30,0.216934949648973,0.217747901274198,0.200911089373584,0.208433958833954,0.216934949648971
"39",2015-09-30,-0.00534608196889219,-0.0127520052407285,-0.00554720017453836,0.0279666217514567,-0.00534608196889408
"40",2015-12-31,-0.110255338078364,-0.121200912677389,-0.115727667085389,-0.0961239016247346,-0.110255338078365
